PassengerId,Hometown,Destination,Lifeboat,Body
1,"Bridgerule, Devon, England","Qu'Appelle Valley, Saskatchewan, Canada",,
2,"New York, New York, US","New York, New York, US",4,
3,"Jyväskylä, Finland",New York City,14?,
4,"Scituate, Massachusetts, US","Scituate, Massachusetts, US",D,
5,"Birmingham, West Midlands, England",New York City,,
6,"Cork, Ireland",New York City,,
7,"Dorchester, Massachusetts, US","Dorchester, Massachusetts, US",,175MB
8,"Bjuv, Skåne, Sweden","Chicago, Illinois, US",,
9,"St. Charles, Illinois, US","St. Charles, Illinois, US",15,
10,"Zahlé, Lebanon, Ottoman Empire","Cleveland, Ohio, US",?,
11,"Motala, Östergötland, Sweden","San Francisco, US",13,
12,"Youngstown, Ohio, US","Youngstown, Ohio, US",8,
13,"St Austell, Cornwall, England",New York City,,
14,"Kisa, Östergötland, Sweden","Winnipeg, Manitoba, Canada",,
15,"Salmunds, Gotland, Sweden","Los Angeles, US",,
16,"Lucknow, British India, UK[note 3]","Rapid City, South Dakota, US",13,
17,"Athlone, Westmeath, Ireland","Spokane, Washington, US",,
18,"Harrow, London, England","Chicago, Illinois, US",14,
19,"Pittem, Belgium","Fremont, Ohio, US",,
20,"Tebnine, Lebanon","Michigan City, Indiana, US",C,
21,"Liverpool, Merseyside, England, UK","Montreal, Quebec, Canada",,322M
22,"London, England, UK","Toronto, Ontario, Canada",13,
23,"Massbrook, Mayo, Ireland","Chicago, Illinois, US",13,
24,"New Britain, Connecticut, US","New Britain, Connecticut, US",7,
25,"Bjuv, Skåne, Sweden","Chicago, Illinois, US",,
26,"Alseda, Småland, Sweden","Worcester, Massachusetts, US",15,
27,"Hadath, Lebanon",New York City,,
28,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada",,
29,"Limerick, Limerick, Ireland",New York City,?,
30,"Unknown, Bulgaria","Chicago, Illinois, US",,
31,"Mexico City, Mexico","Mexico City, Mexico",,
32,"New York, New York, US","New York, New York, US",6,
33,"Killaloe, Clare, Ireland","Washington, DC, US",13,
34,"Guernsey, Channel Islands","Edgewood, Rhode Island, US",,
35,"New York, New York, US","New York, New York, US",,
36,"New York, New York, US","New York, New York, US",,38MB
37,"Tripoli, Lebanon","Philadelphia, Pennsylvania, US",15,
38,"Penwithick, Cornwall, England",New York City,,
39,"Zwevezele, Belgium","Fremont, Ohio, US",,
40,"El-Hakour, Lebanon","Jacksonville, Florida, US",C,
41,"Göteborg, Västergötland, Sweden","Akeley, Minnesota, US",,
42,"Plymouth, Devon, England","Salt Lake City, Utah, US",,
43,"Vetren, Bulgaria","Madison, Wisconsin, US",,
44,"Paris, France","Cap-Haïtien, Haiti",14,
45,"Kilmacowen, Sligo, Ireland",New York City,C,
46,"Pontardawe, West Glamorgan, Wales",New York City,,
47,"Ballymahon, Longford, Ireland",New York City,,
48,"Ballydehob, Cork, Ireland","Jersey City, New Jersey, US",D,
49,"Hardîne, Lebanon","Wilkes-Barre, Pennsylvania, US",,
50,"Altdorf, Uri, Switzerland","New Glarus, Wisconsin, US",,
51,"Ylihärmä, South Ostrobothnia, Finland","Coal Center, Pennsylvania, US",,
52,"Newton Abbot, Devon, England","Buffalo, New York, US",,
53,"New York, New York, US","New York, New York, US",3,
54,"Manchester, England","Philadelphia, Pennsylvania, US",16,
55,"Providence, Rhode Island, US","Providence, Rhode Island, US",,234MB
56,"London, England, UK","New York, New York, US",D,
57,"Guernsey, Channel Islands","Wilmington, Delaware, US",12,
58,"Kafr Mishki, Lebanon","Ottawa, Ontario, Canada",,181MB
59,"Bournemouth, Dorset, England","Gainesville, Florida, US",10,
60,"Fulham, England","Niagara Falls, New York, US",,
61,"Kiğı, Turkey","Brantford, Ontario, Canada",,
62,"New York, New York, US","New York, New York, US",6,
63,"New York, New York, US","New York, New York, US",,
64,"Hällekis, Västergötland, Sweden","Iron Mountain, Michigan, US",,
65,"Cincinnati, Ohio, US","Gallipolis, Ohio, US",,
66,"Hardîne, Lebanon","Houtzdale, Pennsylvania, US",C,
67,"East Orange, New Jersey, US","East Orange, New Jersey, US",11,
68,"Bristol, Avon, England","Cleveland, Ohio, US",,
69,"Kullaa, Finland",New York City,D,
70,"Zürich, Switzerland","Milwaukee, Wisconsin, US",,
71,"St. Ives, Cornwall, England","Houghton, Michigan, US",,
72,"Fulham, England","Niagara Falls, New York, US",,
73,"Fritham, Hampshire, England","Manitoba, Canada",,
74,"Agios Sostis, Peloponnese, Greece",New York City,,
75,"Hong Kong, China",New York City,C,
76,"Bergen, Norway","Minneapolis, Minnesota, US",,309M
77,"Debnevo, Troyan, Bulgaria","Chicago, Illinois, US",,
78,"London, England",New York City,,
79,"Bangkok, Siam","Roseville, Illinois, US",13,
80,"New York City, New York, US",New York City,13,
81,"Ruiselede, West Flanders, Belgium","Stanton, Ohio, US",,140MB
82,"Haaltert, East Flanders, Belgium","Detroit, Michigan, US",11,
83,"Lahardane, Mayo, Ireland","Chicago, Illinois, US",13,
84,"Montevideo, Uruguay","Montevideo, Uruguay",,
85,"Jersey, Channel Islands","Atlanta, Georgia, US",?,
86,"Kotka, Finland",New York City,D,
87,"Rotherfield, East Sussex, England","Essex County, New Jersey, US",,
88,"London, England",New York City,,
89,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada",10,
90,"Milan[83], Italy",New York City,,
91,"London, England",New York City,,
92,"Kalfsnäs, Småland, Sweden","Chicago, Illinois, US",,
93,"Amenia, North Dakota, US","Amenia, North Dakota, US",,
94,"Bartley Farm, Hampshire, England","Wichita, Kansas, US",,
95,"London, England","Merrill, Wisconsin, US",,
96,"Heron's Ghyll, East Sussex, England","New York, US",,240{?}MB
97,"New York, New York, US","New York, New York, US",,
98,"New York, New York, US","New York, New York, US",7,
99,"Southampton, Hampshire, England, UK",New York City,?,
100,"Vitebsk, Russian Empire","Bronx, New York, US",,283MB
101,"Vagovina, Croatia","Harrisburg, Pennsylvania, US",,
102,"Belish, Troyan, Bulgaria","Chicago, Illinois, US",,
103,"Brunswick, Maine, US","Brunswick, Maine, US",,169MB
104,"Bäckebo, Småland, Sweden","Cheyenne, North Dakota, US",,285MB
105,"Ruotsinpyhtää, Finland",New York City,,98MB
106,"Gumostnik, Lovec, Bulgaria","Chicago, Illinois, US",,
107,"Ålesund, Møre og Romsdal, Norway","Proctor, Minnesota, US",C,
108,"Bergen, Norway",New York City,B,
109,"Bosanska Krupa, Bosnia","Harrisburg, Pennsylvania, US",,
110,"Askeaton, Limerick, Ireland","Brooklyn, New York, US",16,
111,"Worcester, Massachusetts, US","Worcester, Massachusetts, US",,207MB
112,"Unknown, Syria",New York City,,328MM
113,"Cambridge, Cambridgeshire, England",New York City,,
114,"Paavola, Northern Ostrobothnia, Finland",New York City,,
115,"Beirut, Lebanon",New York City,,
116,"Heinola, Finland",New York City,,
117,"Charleville, Cork, Ireland",New York City,,171MB
118,"Plymouth, Devon, England","Salt Lake City, Utah, US",,
119,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",,
120,"Kisa, Östergötland, Sweden","Winnipeg, Manitoba, Canada",,
121,"Fritham, Hampshire, England","The Pas, Manitoba, Canada",,
122,"Kingston upon Thames, London, England","Hoboken, New Jersey, US",,
123,"Zahlé, Lebanon, Ottoman Empire[note 7]","Cleveland, Ohio, US",,43MB
124,"Bude, Cornwall, England","Hartford, Connecticut, US",12,
125,"Brunswick, Maine, US","Brunswick, Maine, US",,
126,"El-Hakour, Lebanon","Jacksonville, Florida, US",C,
127,"Craghbrien, Clare, Ireland",New York City,,
128,"Trondheim, Norway","Brooklyn, New York, US",13,
129,"Sar'al, Syria[81]","Detroit, Michigan, US",C,
130,"Effington Rut, South Dakota, US","Effington Rut, South Dakota, US",,
131,"Hrastelnica, Croatia",New York City,,51MB
132,"Funchal, Madeira Islands, Portugal",New York City,,
133,"St Austell, Cornwall, England","Yonkers, New York, US",,7MB
134,"Bromsgrove, Worcestershire, England","Montreal, Quebec, Canada",10,
135,"Porthallow, Cornwall, England","Houghton, Michigan, US",,
136,"Paris, France","Montreal, Quebec, Canada",,
137,"New York, New York, US","New York, New York, US",5,
138,"Scituate, Massachusetts, US","Scituate, Massachusetts, US",,
139,"Hedesunda, Gävleborg, Sweden","Mitchell, South Dakota, US",,
140,"Paris, France","New York, New York, US",,
141,"Unknown, Lebanon","Kent, British Columbia, Canada",,
142,"Kisa, Östergötland, Sweden","Hackensack, New Jersey, US",13,
143,"Helsinki, Finland","Monessen, Pennsylvania, US",15,
144,"Glanmire, Cork, Ireland","Charlestown, US",,
145,"San Ambrosio, Córdoba, Argentina","Trenton, New Jersey, US",,
146,"St. Ives, Cornwall, England","Houghton, Michigan, US",,101MB
147,"Malmö, Skåne, Sweden","Chicago, Illinois, US",A,
148,"Rotherfield, East Sussex, England","Essex County, New Jersey, US",,
149,"Nice, France",New York City,,15MB
150,"London, England","Jacksonville, Florida, US",,
151,"Jacksonville, Florida, US","Jacksonville, Florida, US",,174MB
152,"Isleworth, London, England, UK","New York, New York, US",8,
153,"Bournemouth, Dorset, England","Washington, DC, US",,201MB
154,"London, England","North Wales, Pennsylvania, US",,255MB
155,"Sunnhordland, Norway","Broderick, Canada",,
156,"Geneva, Switzerland","Radnor, Pennsylvania, US",,
157,"Esker, Longford, Ireland",New York City,16,
158,"London, England",New York City,,
159,"Pisac, Croatia",New York City,,
160,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US",,
161,"Bournemouth, Dorset, England","Newark, New Jersey, US",,
162,"Aberdeen, Aberdeenshire, Scotland","Portland, Oregon, US",9,
163,"Fridhemsberg, Halland, Sweden","Monee, Illinois, US",,
164,"Brezik, Croatia","Sault Ste. Marie, Michigan, US",,
165,"Ylihärmä, South Ostrobothnia, Finland","Coal Center, Pennsylvania, US",,
166,"Strood, Kent, England","Detroit, Michigan, US",C,
167,"St Leonards-on-Sea, East Sussex, England, UK","New York, New York, US",6,
168,"Hällekis, Västergötland, Sweden","Iron Mountain, Michigan, US",,
169,"New York, New York, US","New York, New York, US",,
170,"Hong Kong, China",New York City,,
171,"Brooklyn, New York, US","Brooklyn, New York, US",,245MB
172,"Athlone, Westmeath, Ireland","Spokane, Washington, US",,
173,"St. Charles, Illinois, US","St. Charles, Illinois, US",15,
174,"Mountain Home, Idaho, US","Mountain Home, Idaho, US",,
175,"Paris, France","Long Island, New York, US",,
176,"Grimshut, Småland, Sweden",New York City,,
177,"Liévin, Pas-de-Calais, France","Mystic, Iowa, US",,
178,"Chicago, Illinois, US","Chicago, Illinois, US",,
179,"Auburn, New York, US","Auburn, New York, US",,75MB
180,"New York City, New York, US",New York City,,
181,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US",,
182,"Paris, France","New York, New York, US",,
183,"Alseda, Småland, Sweden","Worcester, Massachusetts, US",,
184,"Guntur, Madras Province, British India","Benton Harbor, Michigan, US",11,
185,"Zürich, Switzerland","Milwaukee, Wisconsin, US",2,
186,"Seattle, Washington, US","Seattle, Washington, US",,
187,"Pallasgreen, Limerick, Ireland",New York City,?,
188,"New York, New York, US","New York, New York, US",9,
189,"Carrowskehine, Mayo, Ireland","Chicago, Illinois, US",,
190,"Bratina, Croatia","Youngstown, Ohio, US",,
191,"Brooklyn, New York, US","Brooklyn, New York, US",9,
192,"St. Ives, Cornwall, England","Houghton, Michigan, US",,18MB
193,"Eskilstrup, Denmark","Portland, Oregon, US",16,
194,"Nice, France",New York City,D,
195,"Denver, Colorado, US","Denver, Colorado, US",6,
196,"New York, New York, US","New York, New York, US",6,
197,"Ballywilliam, Wexford, Ireland","Chicago, Illinois, US",,
198,"Trondheim, Norway","Brooklyn, New York, US",,
199,"Askeaton, Limerick, Ireland",New York City,15,
200,"Paris, France","Montreal, Quebec, Canada",,
201,"Westrozebeke, Belgium",New York City,,
202,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US",,
203,"Munsala, Finland","Vancouver, British Columbia, Canada",,143MB
204,"Hardîne, Lebanon","Wilkes-Barre, Pennsylvania, US",,
205,"London, England","Brooklyn, New York, US",12,
206,"Indiana Harbor, Indiana, US","Indiana Harbor, Indiana, US",,
207,"Kotka, Finland",New York City,,
208,"Fredericksburg, Virginia, US","Fredericksburg, Virginia, US",15,
209,"Corglass, Longford, Ireland",New York City,16,
210,"Glen Ridge, New Jersey, US","Glen Ridge, New Jersey, US",7,
211,"Buenos Aires, Argentina",New York City,,
212,"London, England, UK","Mamaronek, New York, US",14,
213,"Holsworthy, Devon, England","Saskatoon, Saskatchewan, Canada",,
214,"Kølsen, Vorde Sogn, Denmark","San Francisco, California, US",,305MB
215,"Aughnacliffe, Longford, Ireland","Jersey City, New Jersey, US",,
216,"Lexington, Massachusetts, US","Lexington, Massachusetts, US",6,
217,"Saarijärvi, Finland",New York City,?,
218,"London, England","Montreal, Quebec, Canada",,
219,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US",8,
220,"London, England",New York City,,
221,"London, England","Cleveland, Ohio, US",B,
222,"Lake Arthur, New Mexico, US","Lake Arthur, New Mexico, US",,
223,"Dorking, Surrey, England","Lead, South Dakota, US",,
224,"Unknown, Bulgaria","Coon Rapids, Iowa, US",,
225,"New York, New York, US","Stamford, Connecticut, US",D,
226,"Firtby, Finland",New York City,,
227,"Chelsea, London, England","Long Island, New York, US",B,
228,"Northlew, Devon, England",New York City,,
229,"Oslo, Norway","Bayonne, New Jersey, US",,
230,"Liévin, Pas-de-Calais, France","Mystic, Iowa, US",,
231,"New York, New York, US","New York, New York, US",D,
232,"Nyköping, Södermanland, Sweden","Hartford, Connecticut, US",,
233,"Hjo, Västergötland, Sweden","Sault Ste Marie, Michigan, US",10,
234,"Alseda, Småland, Sweden","Worcester, Massachusetts, US",15,
235,"London, England",New York City,,108MB
236,"Thornton Heath, London, England","New London, Connecticut, US",,
237,"Porthoustock, Cornwall, England","Sacramento, California, US",,
238,"Bishopstoke, Hampshire, England","Payette, Idaho, US",14,
239,"Gunnislake, Cornwall, England","Butte, Montana, US",,
240,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US",,
241,"Unknown, Syria",New York City,,
242,"Aghnacliffe, Longford, Ireland","Philadelphia, Pennsylvania, US",16,
243,"London, England","Detroit, Michigan, US",,
244,"Kauhajoki, Finland","Sudbury, Ontario, Canada",,
245,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",,
246,"Fond du Lac, Wisconsin, US","Fond du Lac, Wisconsin, US",,230MB
247,"Stockholm, Sweden","Saranac Lake, New York, US",,
248,"Detroit, Michigan, US","Detroit, Michigan, US",4,
249,"New York, New York, US","New York, New York, US",5,
250,"London, England, UK",New York City,,
251,"Penarth, Glamorgan, Wales",New York City,,
252,"Indiana Harbor, Indiana, US","Indiana Harbor, Indiana, US",,
253,"London, England, UK","New York, New York, US",,
254,"Scranton, Pennsylvania, US","Scranton, Pennsylvania, US",,
255,"Suistamo, Finland","Astoria, Oregon, US",,
256,"Tibnin, Lebanon","Dowagiac, Michigan, US",C,
257,"New York, New York, US","New York, New York, US",D,
258,"London, England, UK","Vancouver, British Columbia, Canada",8,
259,"Germantown, Pennsylvania, US","Germantown, Pennsylvania, US",3,
260,"Woodford County, Kentucky, US","Woodford County, Kentucky, US",12,
261,"Caltra, Galway, Ireland","Hammond, Indiana, US",,
262,"Alseda, Småland, Sweden","Worcester, Massachusetts, US",15,
263,"New York, New York, US","New York, New York, US",,
264,"Wallasey, Merseyside, England, UK","New York, New York, US",,110MB
265,"Clonown, Roscommon, Ireland","Boston, Massachusetts, US",,
266,"Slinfold, West Sussex, England",New York City,,
267,"Ylihärmä, South Ostrobothnia, Finland","Coal Center, Pennsylvania, US",,
268,"Stockholm, Uppland, Sweden","Indianapolis, Indiana, US",15,
269,"Greenwich, Connecticut, US","Greenwich, Connecticut, US",3,
270,"New York, New York, US","New York, New York, US",8,
271,"Bryn Mawr, Pennsylvania, US","Bryn Mawr, Pennsylvania, US",,
272,"Sundbyberg, Sweden",New York City,15,
273,"Wimbledon, London, England","Bennington, Vermont, US",14,
274,"Brooklyn, New York, US","Brooklyn, New York, US",,
275,"Athenry, Galway, Ireland",New York City,16,
276,"Hudson, New York, US","Hudson, New York, US",10,
277,"Stockholm, Sweden","Stratford, Connecticut, US",,
278,"Belfast, Ireland",New York City,,
279,"Athlone, Westmeath, Ireland","Spokane, Washington, US",,
280,"East Providence, Rhode Island, US","East Providence, Rhode Island, US",A,
281,"Bunmahon, Waterford, Ireland","Morris Plains, New Jersey, US",,
282,"Eslöv, Skåne, Sweden",New York City,,
283,"Heldergem, Haaltert, East Flanders, Belgium","Gladstone, Michigan, US",,
284,"Liss, Hampshire, England","Oglesby, Illinois, US",B,
285,"Streatham, London, England, UK","New York, New York, US",,
286,"Galdovo, Croatia",New York City,,
287,"Aspelare, East Flanders, Belgium","Detroit, Michigan, US",11,
288,"Gumostnik, Lovech, Bulgaria","Chicago, Illinois, US",,
289,"Tokyo, Japan","Tokyo, Japan",10,
290,"Cortrasna, Cavan, Ireland",New York City,13,
291,"London, England, UK","New York, New York, US",6,
292,"Dowagiac, Michigan, US","Dowagiac, Michigan, US",7,
293,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",,
294,"Altdorf, Uri, Switzerland","Chicago, Illinois, US",,
295,"Unknown, Bulgaria","Coon Rapids, Iowa, US",,
296,"Chicago, Illinois, US","Chicago, Illinois, US",,
297,"Kfar Mechi, Syria","Ottawa, Ontario, Canada",,188MB
298,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",,
299,"Manchester, England, UK","New York, New York, US",3,
300,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",6,
301,"Cuilmullagh, Mayo, Ireland","Chicago, Illinois, US",16,
302,"Carrickatane, Tyrone, Ireland","Brooklyn, New York, US",16,
303,"Hawthorne, New Jersey, US",New York City,,
304,"Castleconnell, Limerick, Ireland[note 1]","Harrisburg, Pennsylvania, US",10,
305,"Guernsey, Channel Islands, Channel Islands",New York City,,
306,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",11,
307,"Haverford, Pennsylvania, US","Haverford, Pennsylvania, US",4,
308,"Madrid, Spain","New York, New York, US",8,
309,Russia,"New York, New York, US",,
310,"London, England, UK","New York, New York, US",1,
311,"New York, New York, US","New York, New York, US",7,
312,"Cooperstown, New York, US","Cooperstown, New York, US",4,
313,"Minneapolis, Minnesota, US","Minneapolis, Minnesota, US",,
314,"Vagovina, Croatia","Harrisburg, Pennsylvania, US",,306MB
315,"Ilford, Essex, England","Winnipeg, Manitoba, Canada",,
316,"Ramkvilla, Småland, Sweden","Joliet, Illinois, US",13,
317,"Vitebsk, Russian Empire","Bronx, New York, US",12,
318,"Frankfort, Kentucky, US","Frankfort, Kentucky, US",,
319,"Youngstown, Ohio, US","Youngstown, Ohio, US",8,
320,"Tuxedo Park, New York, US","Tuxedo Park, New York, US",3,
321,"Week St Mary, Cornwall, England","Saskatoon, Saskatchewan, Canada",,
322,"Unknown, Bulgaria","Chicago, Illinois, US",,
323,"Halifax, Nova Scotia, Canada","Vancouver, British Columbia, Canada",13,
324,"Bangkok, Siam","Roseville, Illinois, US",13,
325,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US",,
326,"New York, New York, US","New York, New York, US",8,
327,"Øyer, Norway","Grand Forks, North Dakota, US",,
328,"Bristol, Avon, England","Jacksonville, Florida, US",10,
329,"Strood, Kent, England","Detroit, Michigan, US",C,
330,"Chicago, Illinois, US","Chicago, Illinois, US",4,
331,"Carrickatane, Tyrone, Ireland","Brooklyn, New York, US",16,
332,"Tolworth, London, England, UK","Toronto, Ontario, Canada",,166MB
333,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada",,147MB
334,"Zwevezele, Belgium","Fremont, Ohio, US",,
335,"London, England, UK","New York, New York, US",5,
336,"Unknown, Bulgaria","Coon Rapids, Iowa, US",,
337,"Isleworth, London, England, UK","New York, New York, US",,
338,"Tuxedo Park, New York, US","Tuxedo Park, New York, US",3,
339,"Adelaide, South Australia, Australia","Fingal, North Dakota, US",15,
340,"Trenton, New Jersey, US","Trenton, New Jersey, US",,
341,"Nice, France",New York City,D,
342,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada",10,
343,"Helsinki, Finland, Russian Empire[note 6]","Ashtabula, Ohio, US",,
344,"Liverpool, Merseyside, England","Minatitlán, Veracruz, Mexico",,
345,"Rochester, New York, US","Rochester, New York, US",,236MB
346,"London, England, UK","Montreal, Quebec, Canada",11,
347,"Basingstoke, Hampshire, England","Washington, DC US",9,
348,,,,
349,"London, England","Brooklyn, New York, US",2,
350,"Ostrovica, Croatia","Red Lodge, Montana, US",,
351,"Örsjö, Kalmar, Sweden","Peoria, Illinois, US",,
352,"London, England, UK","Newark, New Jersey, US",,
353,"Kafr Mishki, Lebanon","Ottawa, Ontario, Canada",,
354,"Altdorf, Uri, Switzerland","New Glarus, Wisconsin, US",,
355,"Tebnin, Lebanon",New York City,,
356,"Haaltert, Belgium",New York City,,
357,"St Leonards-on-Sea, East Sussex, England, UK","New York, New York, US",6,
358,"Janjgir-Champa, British India, UK[note 3]","Bally, Pennsylvania, US",,
359,"Corlough, Cavan, Ireland",New York City,13,
360,"Currafarry, Galway, Ireland",New York City,16,
361,"Hällekis, Västergötland, Sweden","Iron Mountain, Michigan, US",,
362,"Montecarlo, Lucca, Tuscany, Italy","Chicago, Illinois, US",,295MB
363,"Kafr Mishki, Lebanon","Ottawa, Ontario, Canada",,
364,"Buenos Aires, Argentina",New York City,,
365,"Pallasgreen, Limerick, Ireland","Chicago, Illinois, US",,
366,"Asarum, Småland, Sweden","Brooklyn, New York, US",,72MB
367,"Portland, Oregon, US","Portland, Oregon, US",5,
368,"Hardîne, Lebanon","Wilkes-Barre, Pennsylvania, US",?,
369,"Ballydehob, Cork, Ireland","East Lynn, Massachusetts, US",D,
370,"Paris, France","New York, New York, US",9,
371,"New York, New York, US","New York, New York, US",5,
372,"Vaasa, Finland","Montreal, Quebec, Canada",,314
373,"Fillingham, Lincolnshire, England","Russell, US",,
374,"New York, New York, US","New York, New York, US",,232MB
375,"Bjuv, Skåne, Sweden","Chicago, Illinois, US",,
376,"New York, New York, US","New York, New York, US",6,
377,"Karlshamn, Blekinge, Sweden",New York City,13,
378,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US",,
379,"Zgharta, Lebanon","Waterbury, Connecticut, US",,
380,"Myren, Synnerby, Västergötland, Sweden","Aberdeen, South Dakota, US",,
381,"New York, New York, US","New York, New York, US",4,
382,"Zgharta, Lebanon","Waterbury, Connecticut, US",C,
383,"Pielavesi, Finland",New York City,,
384,"New York, New York, US","New York, New York, US",8,
385,"Unknown, Bulgaria","Tulsa, Oklahoma, US",,
386,"Lyndhurst, Hampshire, England","Eden, Manitoba, Canada",,
387,"Fulham, England","Niagara Falls, New York, US",,4MB[84]
388,"Sittingbourne, Kent, England","San Francisco, US",9,
389,"Mohill, Leitrim, Ireland","Lakewood Township, New Jersey, US",,
390,"Lotzwil, Switzerland","Central City, Iowa, US",12,
391,"Bryn Mawr, Pennsylvania, US","Bryn Mawr, Pennsylvania, US",C,
392,"Örebro, Sweden","Swedeburg, Nebraska, US",A,
393,"Ruotsinpyhtää, Finland",New York City,,
394,"Lexington, Massachusetts, US","Lexington, Massachusetts, US",6,
395,"Motala, Östergötland, Sweden","San Francisco, US",13,
396,"Frostensmåla, Småland, Sweden","St. Paul, Minnesota, US",,156MB
397,"Södra Brantevik, Sweden","St. Paul, Minnesota, US",,
398,"Guernsey, Channel Islands","Rochester, New York, US",,
399,"Hamilton, Ontario, Canada","Hamilton, Ontario, Canada",,
400,"Columbus, Ohio, US","Columbus, Ohio, US",9,
401,"Kivijärvi, Finland","Boston, Massachusetts, US",9,
402,"Bournemouth, Dorset, England","La Porte City, Iowa, US",,103MB
403,"Paavola, Northern Ostrobothnia, Finland",New York City,,
404,"Helsinki, Finland","Monessen, Pennsylvania, US",,
405,"Konjsko Brdo, Croatia","Chicago, Illinois, US",,
406,"Harrowbarrow, Cornwall, England","Clear Creek, Colorado, US",,
407,"Algutsrum, Kalmar, Sweden",New York City,,
408,"Penzance, Cornwall, England","Akron, Ohio, US",4,
409,"Bremnes, Norway",New York City,,
410,"Liévin, Pas-de-Calais, France","Mystic, Iowa, US",,
411,"Unknown, Bulgaria","Chicago, Illinois, US",,
412,"Ballysadare, Sligo, Ireland","Boston, Massachusetts, US",,
413,"Fond du Lac, Wisconsin, US","Fond du Lac, Wisconsin, US",14,
414,"Belfast, Ireland",New York City,,
415,"Munsala, Finland","Cheyenne, Wyoming, US",15,
416,"Penarth, Glamorgan, Wales",New York City,,
417,"Greenport, New York, US","Greenport, New York, US",10,
418,"Tornio, Finland, Russian Empire[note 6]","Minneapolis, Minnesota, US",16,
419,"St Austell, Cornwall, England","La Salle, Illinois, US",,
420,"Kerksken, Belgium","Detroit, Michigan, US",,
421,"Unknown, Bulgaria","Butte, Montana, US",,
422,"Ballinalee, Longford, Ireland",New York City,,
423,"Todtmoos, Germany","Saskatoon, Saskatchewan, Canada",,
424,"Göteborg, Västergötland, Sweden","Stanton, Iowa, US",,
425,"Suistamo, Finland","Astoria, Oregon, US",,
426,"London, England","Quebec City, Quebec, Canada",,
427,"Netley Abbey, Hampshire, England","San Francisco, California, US",14,
428,"Birmingham, Worcester, England","Los Angeles, US",11,
429,"Cuilkillew, Mayo, Ireland",New York City,,
430,"Warsaw, Poland","San Francisco, US",9,
431,"Stockholm, Sweden","Washington, DC, US",D,
432,"Maidstone, Kent, England","Clinton, New York, US",10,
433,"Weston-super-Mare, North Somerset, England",New York City,14,
434,"Kauhajoki, Finland","Sudbury, Ontario, Canada",,
435,"Duluth, Minnesota, US","Duluth, Minnesota, US",,
436,"Bryn Mawr, Pennsylvania, US","Bryn Mawr, Pennsylvania, US",4,
437,"Rotherfield, East Sussex, England","Essex County, New Jersey, US",,
