PassengerId,Hometown,Destination,Lifeboat,Body
438,"Penzance, Cornwall, England","Akron, Ohio, US",4,
439,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada",,
440,"Trollhättan, Västergötland, Sweden","Arlington, Virginia, US",,165MB
441,"Ilford, Essex, England","Winnipeg, Manitoba, Canada",14,
442,"Westrozebeke, Belgium","Detroit, Michigan, US",,
443,"Västermo, Södermanland, Sweden","Chicago, Illinois, US",,
444,"Marbella, Spain",New York City,9,
445,"Avaldsnes, Stavanger, Norway",New York City,13,
446,"San Francisco, California, US","San Francisco, California, US",5,
447,"Wimbledon, London, England","Bennington, Vermont, US",14,
448,"New York, New York, US","New York, New York, US",7,
449,"Ḑuhūr ash Shuwayr, Lebanon","Brooklyn, New York, US",C,
450,"Toronto, Ontario, Canada","Toronto, Ontario, Canada",6,
451,"Bournemouth, Dorset, England","Gainesville, Florida, US",,
452,"Skaare, Haugesund, Norway","Belmar, New Jersey, US",,
453,"New York, New York, US","New York, New York, US",,
454,"Paris, France","New York, New York, US",5,
455,"London, England",New York City,,
456,"Topolovac, Croatia","Galesburg, Illinois, US",15,
457,"East Bridgewater, Massachusetts, US","East Bridgewater, Massachusetts, US",,249MB
458,"Pittsburgh, Pennsylvania, US","Pittsburgh, Pennsylvania, US",8,
459,"Indianapolis, Indiana, US","Indianapolis, Indiana, US",9,
460,"Boherbue, Cork, Ireland",New York City,,
461,"New York, New York, US","New York, New York, US",3,
462,"Petworth, West Sussex, England",New York City,,
463,"St Annes-on-Sea, Lancashire, England, UK","Mexico City, Mexico",,275MB
464,"Odense, Denmark","Oregon, Wisconsin, US",,271MB
465,"London, England",New York City,,
466,"Calheta, Madeira, Portugal",New York City,,
467,"Belfast, Ireland",New York City,,
468,"Kildale, North Yorkshire, England, UK","New York, New York, US",,
469,"Rathkeale, Limerick, Ireland",New York City,,
470,"Ḑuhūr ash Shuwayr, Lebanon","Brooklyn, New York, US",C,
471,"Rahway, New Jersey, US","Rahway, New Jersey, US",A,332O
472,"Široka Kula, Croatia","Chicago, Illinois, US",,
473,"Bournemouth, Dorset, England","Gainesville, Florida, US",10,
474,New York City,New York City,11,
475,"Turku, Finland",New York City,,
476,"Stoughton, Massachusetts, US","Stoughton, Massachusetts",,
477,"Elizabeth, New Jersey, US","Elizabeth, New Jersey, US",,
478,"Bridgerule, Devon, England","Qu'Appelle Valley, Saskatchewan, Canada",,
479,"Örebro, Sweden","Palmer, Massachusetts, US",,
480,"Taalintehdas, Finland","Monessen, Pennsylvania, US",15,
481,"Fulham, England","Niagara Falls, New York, US",,
482,"Belfast, Northern Ireland, UK",New York City,,
483,"Sittingbourne, Kent, England","Cleveland, Ohio, US",,
484,"Jalasjärvi, Southern Ostrobothnia, Finland","Hibbing, Minnesota, US",15,
485,"Dowagiac, Michigan, US","Dowagiac, Michigan, US",7,
486,"Liévin, Pas-de-Calais, France","Mystic, Iowa, US",,
487,"New York, New York, US","Stamford, Connecticut, US",D,
488,"Buffalo, New York, US","Buffalo, New York, US",,258MB
489,"Greatfield, Cheltenham, England","Canastota, New York, US",,
490,"London, England","Brooklyn, New York, US",2,
491,"Skaare, Haugesund, Norway","Belmar, New Jersey, US",,
492,"Cape Town, South Africa",New York City,,
493,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",,
494,"Buenos Aires, Argentina","New York, New York, US",,22MB
495,"Swanage, England","Cleveland, Ohio, US",,
496,"Hardîne, Lebanon","Youngstown, Ohio, US",,312M
497,"Brookline, Massachusetts, US","Brookline, Massachusetts, US",4,
498,"Bristol, Avon, England","Troy, New York, US",,
499,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",,
500,"Björkeberga, Skåne, Sweden",New York City,,
501,"Brezik, Croatia","Sault Ste. Marie, Michigan, US",,
502,"Tonacrick, Clare, Ireland","Philadelphia, Pennsylvania, US",,
503,"Glenduff, Kerry, Ireland",New York City,,
504,"Helsinki, Finland",New York City,,
505,"Vancouver, British Columbia, Canada","Vancouver, British Columbia, Canada",8,
506,"Madrid, Spain","New York, New York, US",,
507,"Plymouth, Devon, England","Detroit, Michigan, US",11,
508,"Los Angeles, California, US","Los Angeles, California, US",9,
509,"Bergen, Norway",New York City,,173MB
510,"Hong Kong, China",New York City,14,
511,"Athlone, Westmeath, Ireland",New York City,B,
512,"San Francisco, US","San Francisco, US",,
513,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US",7,
514,"New York, New York, US","New York, New York, US",6,
515,"Debnevo, Troyan, Bulgaria","Chicago, Illinois, US",,
516,"East Orange, New Jersey, US","East Orange, New Jersey, US",,
517,"Chicago, Illinois, US","Chicago, Illinois, US",14,
518,"Askeaton, Limerick, Ireland","Bronx, New York, US",,
519,"Warwick, Warwickshire, England",New York City,11,
520,"Vagovina, Croatia","Harrisburg, Pennsylvania, US",,
521,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",3,
522,"Jesenice, Slovenia","St. Joseph, Minnesota, US",,
523,"Zgharta, Lebanon","Waterbury, Connecticut, US",,
524,"Chicago, Illinois, US","Chicago, Illinois, US",4,
525,"Shana, Lebanon",New York City,,
526,"Killoe, Longford, Ireland",New York City,,68MB
527,"London, England","Marietta, Ohio, US",13,
528,"New York, New York, US","New York, New York, US",,
529,"Aberdeen, Washington, US","Aberdeen, Washington, US",,
530,"Akron, Ohio, US","Akron, Ohio, US",,
531,"Plymouth, Devon, England","Detroit, Michigan, US",11,
532,"Hardîne, Lebanon",New York City,,
533,"Kafr Mishki, Lebanon","Ottawa, Ontario, Canada",,
534,"Sar'al, Syria","Detroit, Michigan, US",C,
535,"Široka Kula, Croatia","Chicago, Illinois, US",,
536,"Ilford, Essex, England","Winnipeg, Manitoba, Canada",14,
537,"Washington, DC, US","Washington, DC, US",,
538,"Minneapolis, Minnesota, US","Minneapolis, Minnesota, US",2,
539,"Deal, Kent, England","Groesbeck, Texas, US",,
540,"Zürich, Switzerland","New York, New York, US",5,
541,"Milwaukee, Wisconsin, US","Milwaukee, Wisconsin, US",7,
542,"Kisa, Östergötland, Sweden","Winnipeg, Manitoba, Canada",,
543,"Kisa, Östergötland, Sweden","Winnipeg, Manitoba, Canada",,
544,New York City,New York City,13,
545,"Minneapolis, Minnesota, US","Minneapolis, Minnesota, US",,62MB
546,"Shanklin, Isle of Wight, England, UK","New York, New York, US",,263MB
547,"Norwich, Norfolk, England",New York City,13,
548,"Barcelona, Catalonia, Spain","Havana, Cuba",9,
549,"Strood, Kent, England","Detroit, Michigan, US",,
550,"St. Ives, Cornwall, England, UK","Houghton, Michigan, US",14,
551,"Haverford, Pennsylvania, US","Haverford, Pennsylvania, US",B,
552,"London, England, UK",New York City,,
553,"Drimoleague, Cork, Ireland",New York City,,
554,"Toula, Lebanon","Dayton, Ohio, US",6,
555,"Mariestad, Västergötland, Sweden","Chicago, Illinois, US",C,
556,"Halifax, Nova Scotia, Canada","Halifax, Nova Scotia, Canada",,
557,"London, England, UK","New York, New York, US",1,
558,,,,
559,"New York, New York, US","New York, New York, US",8,
560,"Tampico, Montana, US","Tampico, Montana, US",13,
561,"Rathfriland, Down, Ireland","Gleichen, Alberta, Canada",,
562,"Bosanska Krupa, Bosnia","Harrisburg, Pennsylvania, US",,
563,"Glasgow, Scotland","Houghton, Michigan, US",,287MB
564,"Leigh, Kent, England",New York City,,
565,"Eastbourne, East Sussex, England",New York City,,
566,"West Bromwich, Staffordshire, England","Pontiac, Michigan, US",,
567,"Gumostnik, Lovec, Bulgaria","Chicago, Illinois, US",,
568,"Bjuv, Skåne, Sweden","Chicago, Illinois, US",,206MB
569,"Beirut, Lebanon","Youngstown, Ohio, US",,
570,"Kalfsnäs, Småland, Sweden","Huntley, Illinois, US",15,
571,"London, England",New York City,15,
572,"New York, New York, US","New York, New York, US",2,
573,"Brooklyn, New York, US","Brooklyn, New York, US",5,
574,"Castlepollard, Westmeath, Ireland",New York City,D,
575,"Strood, Kent, England","Detroit, Michigan, US",,
576,"Wollaston, Northamptonshire, England","Kitchener, Ontario, Canada",,
577,"Liverpool, Merseyside, England","Brooklyn, New York, US",12,
578,"Duluth, Minnesota, US","Duluth, Minnesota, US",11,
579,"Kfar Mechi, Syria","Ottawa, Ontario, Canada",,
580,"Elimäki, Finland","Monessen, Pennsylvania, US",15,
581,"London, England, UK","Montreal, Quebec, Canada",12,
582,"Haverford, Pennsylvania, US","Haverford, Pennsylvania, US",4,
583,"Rochester, New York, US","Rochester, New York, US",,
584,"Winnipeg, Manitoba, Canada","Winnipeg, Manitoba, Canada",,
585,"Unknown, Unknown",New York City,,
586,"New York, New York, US","New York, New York, US",8,
587,"Stoneygate, Leicestershire, England",New York City,,
588,"Zürich, Switzerland","New York, New York, US",5,
589,"Abercynon, Glamorgan, Wales","Chicago, Illinois, US",,47MB
590,"London, England",New York City,,
591,"Kyyny, Finland","Sudbury, Ontario, Canada",,
592,"Paris, France","Haverford, Pennsylvania, US",4,
593,"Taunton, Somerset, England","Gurnee, Illinois, US",,
594,"Carrowskehine, Mayo, Ireland","Chicago, Illinois, US",,
595,"Liskeard, Cornwall, England","Spokane, Washington, US",,17MB
596,"Kerksken, Belgium","Detroit, Michigan, US",,
597,"London, England","Chicago, Illinois, US",11,
598,"Millwood, England",New York City,,
599,"Kfar Mechi, Syria","Ottawa, Ontario, Canada",,
600,"London, England, UK","New York, New York, US",1,
601,"London, England","Montreal, Quebec, Canada",12,
602,"Unknown, Bulgaria",New York City,,
603,"Washington, DC, US","Washington, DC, US",,
604,"Unknown, Germany",New York City,,
605,"Indianapolis, Indiana, US","Indianapolis, Indiana, US",15,
606,"Helsingborg, Skåne, Sweden","Hartford, Connecticut, US",A,
607,"Vagovina, Croatia","Youngstown, Ohio, US",,
608,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US",3,
609,"Paris, France","Cap-Haïtien, Haiti",14,
610,"Greenwich, Connecticut, US","Greenwich, Connecticut, US",3,
611,"Kisa, Östergötland, Sweden","Winnipeg, Manitoba, Canada",,
612,"Calheta, Madeira, Portugal",New York City,,
613,"Fostragh, Longford, Ireland","Philadelphia, Pennsylvania, US",16,
614,"Unknown, Ireland",New York City,,
615,"Broomfield, Essex, England",New York City,,
616,"Yeovil, Somerset, England","Bernardsville, New Jersey, US",9,
617,"Göteborg, Västergötland, Sweden","Stanton, Iowa, US",,197MB
618,"Scranton, Pennsylvania, US","Scranton, Pennsylvania, US",,55MB
619,"Guntur, Madras Province, British India","Benton Harbor, Michigan, US",11,
620,"Guernsey, Channel Islands","Elizabeth, New Jersey, US",,
621,"Unknown, Lebanon","Wilkes-Barre, Pennsylvania, US",,
622,"Boston, Massachusetts, US","Boston, Massachusetts, US",5,
623,"Zgharta, Lebanon","Waterbury, Connecticut, US",C,
624,"Copenhagen, Denmark","Racine, Wisconsin, US",,69MB
625,"Treherbert, Glamorgan, Wales",New York City,,
626,"Haddonfield, New Jersey, US","Haddonfield, New Jersey, US",,46MB
627,"Glasgow, Scotland","Tuxford, Saskatchewan, Canada",,
628,"Hudson, New York, US","Hudson, New York, US",10,
629,"Unknown, Bulgaria","Chicago, Illinois, US",,
630,"Kingwilliamstown, Cork, Ireland",New York City,,
631,"Hessle, East Yorkshire, England, UK","New York, New York, US",B,
632,"Fyrnan, Småland, Sweden","Spokane, Washington, US",,
633,"Basel, Switzerland","New York, New York, US",3,
634,"Belfast, Ireland, UK","New York, New York, US",,
635,"Hällekis, Västergötland, Sweden","Iron Mountain, Michigan, US",,
636,"London, England, UK","Tottenville, New York, US",13,
637,"Valitaipale, Finland",New York City,,
638,"Bishopstoke, Hampshire, England","Payette, Idaho, US",,
639,"Ylihärmä, South Ostrobothnia, Finland","Coal Center, Pennsylvania, US",,
640,"Maidstone, Kent, England","Clinton, New York, US",,
641,"Eskilstrup, Denmark","Portland, Oregon, US",,
642,"Paris, France","New York, New York, US",9,
643,"Hällekis, Västergötland, Sweden","Iron Mountain, Michigan, US",,
644,"Hong Kong, China",New York City,C,
645,"Ḑuhūr ash Shuwayr, Lebanon","Brooklyn, New York, US",C,
646,"New York, New York, US","New York, New York, US",3,
647,"Kricina, Croatia","Great Falls, Montana, US",,
648,"Basel, Switzerland","New York, New York, US",3,
649,"Market Drayton, Shropshire, England","Schenectady, New York, US",,
650,"Wallingford, Oxfordshire, England","New Haven, Connecticut, US",C,
651,"Unknown, Bulgaria","Chicago, Illinois, US",,
652,"Southampton, Hampshire, England, UK",New York City,?,
653,"Etnesjøen, Hordaland Fylke, Norway","Story City, Iowa, US",,
654,"Kingwilliamstown, Cork, Ireland",New York City,13,
655,"Whitechurch, Cork, Ireland","Charlestown, US",,
656,"Fritham, Hampshire, England","Eden, Manitoba, Canada",,
657,"Unknown, Bulgaria","Chicago, Illinois, US",,
658,"Carrowskehine, Mayo, Ireland","Chicago, Illinois, US",,
659,"London, England, UK","Detroit, Michigan, US",,
660,"Lexington, Massachusetts, US","Lexington, Massachusetts, US",,122MB
661,"London, England, UK","New York, New York, US",5,
662,"Tripoli, Lebanon",New York City,,
663,"Dublin, Ireland, UK[note 1]","Vancouver, British Columbia, Canada",,
664,"Gumostnik, Lovec, Bulgaria","Chicago, Illinois, US",,
665,"Taalintehdas, Finland","Monessen, Pennsylvania, US",15,
666,"Fritham, Hampshire, England","The Pas, Manitoba, Canada",,256MB
667,"Southsea, Hampshire, England",New York City,,97MB
668,"Hogstad, Norway",New York City,,
669,"Unknown (Estonia?), Russia (Estonia?)",New York City,,
670,"London, England, UK","East Orange, New Jersey, US",5,
671,"Cape Town, South Africa, UK","Seattle, Washington, US",14,
672,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",,
673,"Guernsey, Channel Islands","Toledo, Ohio, US",,
674,"London, England",New York City,9,
675,"Belfast, Northern Ireland, UK",New York City,,
676,"Tofta, Uppland, Sweden","Joliet, Illinois, US",,
677,"Basingstoke, Hampshire, England","Halley, Michigan, US",,284MB
678,"Oulainen, Oulu, Finland","Ashtabula, Ohio, US",15,
679,"Fulham, England","Niagara Falls, New York, US",,
680,"Germantown, Pennsylvania, US","Germantown, Pennsylvania, US",3,
681,"Cahir, Tipperary, Ireland",New York City,,
682,"Cairo, Egypt","New York, New York, US",3,
683,"Vikersund, Norway","Carneron, US",,89MB
684,"Fulham, England","Niagara Falls, New York, US",,
685,"Cape Town, South Africa, UK[note 4]","Seattle, Washington, US",,
686,"Paris, France","Cap-Haïtien, Haiti",,
687,"Ylihärmä, South Ostrobothnia, Finland","Coal Center, Pennsylvania, US",,
688,"Gornji Miholjac, Croatia",New York City,,
689,"Björkeberga, Skåne, Sweden",New York City,,
690,"St Louis, Missouri, US","St Louis, Missouri, US",2,
691,"Calgary, Alberta, Canada","Calgary, Alberta, Canada",3,
692,"Milje, Slovenia","Galesburg, Illinois, US",15,
693,"Hong Kong, China",New York City,C,
694,"Kfar Mechi, Syria","Ottawa, Ontario, Canada",,
695,"New York, New York, US","New York, New York, US",,
696,"Bronx, New York, US","Bronx, New York, US",,130MB
697,"Leixlip, Kildare, Ireland","New Haven, Connecticut, US",,
698,"Esker, Longford, Ireland",New York City,16,
699,"Haverford, Pennsylvania, US","Haverford, Pennsylvania, US",,
700,"Borgund, Møre og Romsdal, Norway","Milwaukee, Wisconsin, US",,
701,"New York, New York, US","New York, New York, US",4,
702,"St Louis, Missouri, US","St Louis, Missouri, US",5,
703,"Kafr Mishki, Lebanon","Ottawa, Ontario, Canada",,
704,"Caltra, Galway, Ireland",New York City,,
705,"Holeby, Storstrøm, Denmark","Racine, Wisconsin, US",,
706,"Birmingham, Worcester, England","Los Angeles, US",,
707,"London, England",New York City,9,
708,"New York, New York, US","New York, New York, US",5,
709,"London, England, UK","Montreal, Quebec, Canada",11,
710,"Hardîne, Lebanon","Houtzdale, Pennsylvania, US",C,
711,"Brussels, Belgium","Montreal, Quebec, Canada",6,
712,"Portland, Oregon, US","Portland, Oregon, US",,
713,"London, England, UK","East Orange, New Jersey, US",5,
714,"Stamford, Connecticut, US","Stamford, Connecticut, US",,
715,"Bronx, New York, US","Bronx, New York, US",,19MB
716,"Ålesund, Møre og Romsdal, Norway","Minneapolis, Minnesota, US",,
717,"New York, New York, US","New York, New York, US",4,
718,"Bath, Somerset, England","Auburndale, Florida, US",16,
719,"Dublin, Ireland",New York City,,
720,"Minneapolis, Minnesota, US","Minneapolis, Minnesota, US",,37MB
721,"London, England","Chicago, Illinois, US",11,
722,"Eskilstrup, Denmark","Portland, Oregon, US",,
723,"Abbeyleix, Laois, Ireland[note 1]","Vancouver, British Columbia, Canada",,
724,"Southampton, Hampshire, England","Boston, Massachusetts, US",,149MB
725,"New York, New York, US","New York, New York, US",5,
726,"Konjsko Brdo, Croatia","Chicago, Illinois, US",,
727,"Elizabeth, New Jersey, US","Elizabeth, New Jersey, US",12,
728,"Caltra, Galway, Ireland",New York City,16,
729,"Skara, Västergötland, Sweden","Rockford, Illinois, US",,
730,"Paavola, Northern Ostrobothnia, Finland",New York City,,
731,"St Louis, Missouri, US","St Louis, Missouri, US",2,
732,"Fredericksburg, Virginia, US","Fredericksburg, Virginia, US",,
733,"Belfast, Ireland",New York City,,
734,"St. Ives, Cornwall, England","Calumet, Michigan, US",,
735,"London, England",New York City,,
736,"Tonypandy, Glamorgan, Wales",New York City,,14MB
737,"Rotherfield, East Sussex, England","Essex County, New Jersey, US",,
738,"Germantown, Pennsylvania, US","Germantown, Pennsylvania, US",3,
739,"Malka Ribnya, Troyan, Bulgaria","Chicago, Illinois, US",,
740,"Unknown, Bulgaria","Chicago, Illinois, US",,
741,"Kingston, Surrey, England, UK","New York, New York, US",3,
742,"London, England, UK","New York, New York, US",,172MB
743,"Cooperstown, New York, US","Cooperstown, New York, US",4,
744,"Convoy, Donegal, Ireland, England","Philadelphia, Pennsylvania, US",,
745,"Muljula, Kitee, Finland","Duluth, Minnesota, US",9,
746,"Milwaukee, Wisconsin, US","Milwaukee, Wisconsin, US",,269MB
747,"East Providence, Rhode Island, US","East Providence, Rhode Island, US",,
748,"Turku, Finland, Russian Empire[note 6]","Brighton, Boston, Massachusetts, US",10,
749,"New York, New York, US","New York, New York, US",,
750,"Brooklyn, New York, US","Brooklyn, New York, US",,
751,"Heamoor, Cornwall, England","Akron, Ohio, US",14,
752,"Unknown, Russia","Chicago, Illinois, US",14,
753,"Denderhoutem, Belgium",New York City,,
754,"Gumostnik, Lovec, Bulgaria","Chicago, Illinois, US",,
755,"Yeovil, Somerset, England","Bernardsville, New Jersey, US",9,
756,"Detroit, Michigan, US","Detroit, Michigan, US",4,
757,"Dagsås, Halland, Sweden","Tower, Minnesota, US",,
758,"Penzance, Cornwall, England","Akron, Ohio, US",,
759,"Strood, Kent, England","Detroit, Michigan, US",,176MB
760,"Vancouver, British Columbia, Canada","Vancouver, British Columbia, Canada",8,
761,"Wollaston, Northamptonshire, England","Kitchener, Ontario, Canada",,
762,"Kauhajoki, Finland","Sudbury, Ontario, Canada",,
763,"Hardîne, Lebanon","Wilkes-Barre, Pennsylvania, US",15,
764,"Bryn Mawr, Pennsylvania, US","Bryn Mawr, Pennsylvania, US",4,
765,"Kårberg, Örebro, Sweden","Jerome Junction, Arizona, US",,
766,"Hudson, New York, US","Hudson, New York, US",10,
767,"Philadelphia, Pennsylvania, US","Philadelphia, Pennsylvania, US",,
768,"Carrowkehine, Mayo, Ireland","Chicago, Illinois, US",,61MB
769,"Askeaton, Limerick, Ireland","Brooklyn, New York, US",,
770,"Bokn, Norway","Portland, North Dakota, US",,
771,"Haaltert, Belgium","Detroit, Michigan, US",,
772,"Portland, Oregon, US","Portland, Oregon, US",,
773,"Southampton, Hampshire, England",New York City,,52MB
774,"Unknown, Lebanon",New York City,,
775,"Penzance, Cornwall, England","Akron, Ohio, US",4,
776,"Kristinehamn, Värmland, Sweden","Chicago, Illinois, US",,
777,"Cahir, Tipperary, Ireland",New York City,,
778,"New York City, New York, US",New York City,13,
779,"Currafarry, Galway, Ireland",New York City,,
780,"St Louis, Missouri, US","St Louis, Missouri, US",2,
781,"Beirut, Lebanon","Owen Sound, Ontario, Canada",C,
782,"Calgary, Alberta, Canada","Calgary, Alberta, Canada",3,
783,"Springfield, Massachusetts, US","Springfield, Massachusetts, US",,126MB
784,"Thornton Heath, London, England","New London, Connecticut, US",,
785,"Buenos Aires, Argentina",New York City,,79MB
786,"Manchester, England","Montreal, Quebec, Canada",,
787,"Munsala, Finland","Olympia, Washington, US",16,
788,"Athlone, Westmeath, Ireland","Spokane, Washington, US",,
789,"Bartley Farm, Hampshire, England","Wichita, Kansas, US",10,
790,"Paris, France","New York, New York, US",,
791,"Athenry, Galway, Ireland","Auburndale, Florida, US",,
792,"Liverpool, Merseyside, England","Montreal, Quebec, Canada",,
793,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US",,
794,"New York, New York, US","New York, New York, US",14,[66][67]
795,"Terziysko, Troyan, Bulgaria","Chicago, Illinois, US",,
796,"Middleburg Heights, Ohio, US","Middleburg Heights, Ohio, US",,
797,"New York, New York, US","New York, New York, US",8,
798,"Vagovina, Croatia","Steelton, Pennsylvania, US",?,
799,"Beirut, Lebanon",New York City,,
800,"Kerksken, Belgium","Detroit, Michigan, US",,
801,"Southampton, Hampshire, England",New York City,,
802,"Bishopstoke, Hampshire, England","Payette, Idaho, US",14,
803,"Bryn Mawr, Pennsylvania, US","Bryn Mawr, Pennsylvania, US",4,
804,"Hardîne, Lebanon","Wilkes Barre, Pennsylvania, US",16,
805,"St. Paul, Minnesota, US","St. Paul, Minnesota, US",15,
806,"Duluth, Minnesota, US","Duluth, Minnesota, US",,
807,"Belfast, Ireland, UK","New York, New York, US",,
808,"Stockholm, Uppland, Sweden","Iron Mountain, Michigan, US",,
809,"Harrow, London, England",New York City,,
810,"New York, New York, US","New York, New York, US",5,
811,"Great Yarmouth, Norfolk, England","Albion, Michigan, US",,
812,"West Bromwich, Staffordshire, England","Pontiac, Michigan, US",,
813,"Landrake, Cornwall, England","Nashua, New Hampshire, US",,
814,"Kisa, Östergötland, Sweden","Winnipeg, Manitoba, Canada",,
815,"Portage la Prairie, Manitoba, Canada","Des Moines, Iowa, US",,50MB
816,"Liverpool, Merseyside, England, UK","New York, New York, US",,
817,"Turku, Finland",New York City,,8MB
818,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",,
819,"Karlshamn, Blekinge, Sweden",New York City,,
820,"Hällekis, Västergötland, Sweden","Iron Mountain, Michigan, US",,
821,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",3,
822,"Konjsko Brdo, Croatia","Chicago, Illinois, US",15,
823,"Rotterdam, The Netherlands","New York, New York, US",,
824,"Unknown, Russia","Chicago, Illinois, US",14,
825,"Ylihärmä, South Ostrobothnia, Finland","Coal Center, Pennsylvania, US",,
826,"Clonbur, Galway, Ireland","Pittsburgh, Pennsylvania, US",,
827,"Hong Kong, China",New York City,,
828,"Montreal, Quebec, Canada","Montreal, Quebec, Canada",10,
829,"Bayonne, New Jersey, US","Guttenberg, New Jersey, US",15,
830,"New York, New York, US","New York, New York, US",6,
831,"Unknown, Lebanon","Wilkes-Barre, Pennsylvania, US",C,
832,"Penzance, Cornwall, England","Akron, Ohio, US",4,
833,"Tebnine, Lebanon",New York City,,
834,"Krakoryd, Småland, Sweden","Bloomington, Indiana, US",,
835,"Southall, London, England",New York City,,259MB
836,"Lakewood, New Jersey, US","Lakewood, New Jersey, US",14,
837,"Streklevac, Slovenia","Aurora, Illinois, US",,
838,"London, England",New York City,,
839,"Hong Kong, China",New York City,C,
840,"Paris, France","New York, New York, US",7,
841,"Salo, Finland","Astoria, Oregon, US",,
842,"Huntingfield, Suffolk, England",New York City,,
843,"Bryn Mawr, Pennsylvania, US","Bryn Mawr, Pennsylvania, US",4,
844,"Áyios Sóstis, Greece","Stamford, Connecticut US",,196MB
845,"Lipova Glavica, Croatia","Hammond, Indiana, US",,
846,"Cincinnati, Ohio, US","Cincinnati, Ohio, US",,
847,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US",,
848,"Gumostnik, Lovec, Bulgaria","Chicago, Illinois, US",,
849,"London, England","Chicago, Illinois, US",,
850,"Paris, France","New York, New York, US",5,
851,"Kisa, Östergötland, Sweden","Winnipeg, Manitoba, Canada",,
852,"Reftele, Småland, Sweden","Effington Rut, South Dakota, US",,
853,"Unknown, Lebanon","Kent, British Columbia, Canada",,
854,"Paris, France","Hanover, New Hampshire, US",9,
855,"London, England, UK",New York City,,
856,"London, England","Norfolk, Virginia, US",13,
857,"Youngstown, Ohio, US","Youngstown, Ohio, US",8,
858,"Lima, Peru","Lima, Peru",A,
859,"Ḑuhūr ash Shuwayr, Lebanon","Brooklyn, New York, US",C,
860,"Tebnine, Lebanon",New York City,,
861,"Racine, Wisconsin, US","Racine, Wisconsin, US",,
862,"Porthleven, Cornwall, England","Camden, New Jersey, US",,
863,"New York, New York, US","New York, New York, US",8,
864,"Peterborough, Cambridgeshire, England","Jacksonville, Florida, US",,
865,"Clevedon, North Somerset England",New York City,,155MB
866,New York City,New York City,?,
867,"Barcelona, Catalonia, Spain","Havana, Cuba",12,
868,"Trenton, New Jersey, US","Trenton, New Jersey, US",,
869,"Haaltert, East Flanders, Belgium","Detroit, Michigan, US",,
870,"St. Charles, Illinois, US","St. Charles, Illinois, US",15,
871,"Bosanska Krupa, Bosnia","Harrisburg, Pennsylvania, US",,
872,"New York, New York, US","New York, New York, US",5,
873,"New York, New York, US","New York, New York, US",,
874,"Zwevezele, Belgium","Detroit, Michigan, US",,
875,Russia,"New York, New York, US",10,
876,"El Shweir, Lebanon","Brooklyn, New York, US",C,
877,"Kokkola, Finland","Waukegan, Illinois, US",,
878,"Gumostnik, Lovec, Bulgaria","Chicago, Illinois, US",,
879,"Knezhni Lak, Troyan, Bulgaria","Chicago, Illinois, US",,
